SS,,MSTF,
,,4.25343,38.4632
,,4.25805,38.20276
,,4.26267,37.97028
,,4.26729,37.85966
,,4.27189,37.82456
,,4.2765,37.96231
,,4.2811,38.28158
,,4.2857,39.05163
,,4.29029,40.40219
,,4.29488,41.16732
,,4.29947,41.67848
,,4.30406,41.45161
,,4.30863,40.16505
,,4.31321,38.84877
,,4.31778,37.7273
,,4.32235,37.01356
,,4.32691,36.39812
,,4.33147,36.05724
,,4.33603,35.70584
,,4.34058,35.25444
,,4.34513,34.68935
,,4.34968,34.30279
,,4.35422,33.82067
,,4.35876,33.23496
,,4.36329,33.03557
,,4.36782,32.68241
,,4.37235,32.47003
,,4.37687,32.39819
,,4.38139,32.33773
,,4.38591,32.22725
,,4.39042,32.2089
,,4.39493,31.99946
,,4.39943,32.02237
,,4.40393,32.036
,,4.40843,32.13567
,,4.41292,32.233
,,4.41741,32.46249
,,4.4219,33.05212
,,4.42638,33.26633
,,4.43086,33.7893
,,4.43533,33.72146
,,4.4398,33.88676
,,4.44427,34.06851
,,4.44873,34.38557
,,4.45319,34.82327
,,4.45765,35.19759
,,4.4621,35.16519
,,4.46655,34.98687
,,4.47099,34.47107
,,4.47543,33.96668
,,4.47987,33.42784
,,4.4843,32.90548
,,4.48873,32.5672
,,4.49316,32.28265
,,4.49758,32.10232
,,4.502,31.96402
,,4.50641,31.8446
,,4.51083,31.75312
,,4.51523,31.52477
,,4.51964,31.66441
,,4.52404,31.60968
,,4.52843,32.19487
,,4.53283,32.92041
,,4.53722,33.46146
,,4.5416,33.76867
,,4.54598,33.44241
,,4.55036,32.6954
,,4.55473,32.24395
,,4.5591,31.64049
,,4.56347,31.35094
,,4.56783,31.26206
,,4.57219,31.03369
,,4.57655,30.92542
,,4.5809,30.57799
,,4.58525,30.61005
,,4.58959,30.60106
,,4.59394,30.62738
,,4.59827,30.69057
,,4.60261,30.81718
,,4.60694,30.76184
,,4.61126,30.5991
,,4.61558,30.62741
,,4.6199,30.89628
,,4.62422,30.87399
,,4.62853,31.01444
,,4.63284,31.0457
,,4.63714,30.98995
,,4.64144,30.63957
,,4.64574,30.42537
,,4.65003,30.11867
,,4.65432,29.80319
,,4.65861,29.63116
,,4.66289,29.50261
,,4.66717,29.51021
,,4.67144,29.6874
,,4.67571,29.79812
,,4.67998,30.51282
,,4.68425,30.91866
,,4.68851,30.7017
,,4.69276,30.487
,,4.69702,30.3289
,,4.70126,29.98139
,,4.70551,29.9188
,,4.70975,29.68364
,,4.71399,29.70316
,,4.71823,29.74388
,,4.72246,30.06116
,,4.72668,30.21914
,,4.73091,30.57465
,,4.73513,31.11949
,,4.73934,31.75604
,,4.74356,32.66255
,,4.74777,34.45237
,,4.75197,38.38174
,,4.75617,47.4053
,,4.76037,54.14509
,,4.76457,57.60361
,,4.76876,59.94525
,,4.77295,57.9595
,,4.77713,59.25576
,,4.78131,58.06684
,,4.78549,59.61255
,,4.78966,62.36464
,,4.79383,66.42647
,,4.798,74.68372
,,4.80216,86.28443
,,4.80631,102.8861
,,4.81047,130.7736
,,4.81462,146.148
,,4.81877,161.498
,,4.82291,159.9166
,,4.82705,161.3152
,,4.83119,142.2731
,,4.83533,120.0548
,,4.83946,105.9682
,,4.84358,102.9296
,,4.8477,107.2935
,,4.85182,123.0509
,,4.85594,123.727
,,4.86005,121.2783
,,4.86416,108.893
,,4.86826,98.65836
,,4.87237,88.00735
,,4.87646,72.12808
,,4.88056,64.8328
,,4.88465,57.86521
,,4.88873,52.54828
,,4.89282,48.30118
,,4.8969,45.0883
,,4.90097,42.31763
,,4.90505,40.13916
,,4.90911,38.22007
,,4.91318,36.55545
,,4.91724,35.28094
,,4.9213,34.01865
,,4.92536,32.93631
