wavelength0,Abs0,wavelength1,Abs1,wavelength2,Abs2
466,0.180816174,466,0.162518308,466,0.093502544
465,0.180845171,465,0.163209364,465,0.094459355
464,0.180876777,464,0.164029121,464,0.09504737
463,0.180927351,463,0.164791971,463,0.095366612
462,0.180868372,462,0.165544182,462,0.096338533
461,0.181277797,461,0.166232452,461,0.096458502
460,0.181444675,460,0.166624844,460,0.097118147
459,0.181563541,459,0.167420015,459,0.097386763
458,0.181637183,458,0.167794928,458,0.098039322
457,0.181612179,457,0.168920323,457,0.098519631
456,0.181711957,456,0.169151023,456,0.099127971
455,0.181791142,455,0.169907123,455,0.099633187
454,0.181994781,454,0.170715511,454,0.10002403
453,0.182175532,453,0.171109825,453,0.100078784
452,0.182241723,452,0.171649173,452,0.100565821
451,0.182246804,451,0.172354743,451,0.1009176
450,0.182558164,450,0.172979564,450,0.101361871
449,0.182595059,449,0.173478708,449,0.101795599
448,0.182886511,448,0.173960507,448,0.102048591
447,0.182596669,447,0.175076544,447,0.102499493
446,0.182933882,446,0.174874574,446,0.102711022
445,0.183144957,445,0.175879374,445,0.103002876
444,0.18328011,444,0.176755458,444,0.103429966
443,0.183458552,443,0.177068308,443,0.103730619
442,0.183477148,442,0.177981392,442,0.104093522
441,0.18363744,441,0.178591982,441,0.104251854
440,0.183410794,440,0.179940209,440,0.105045751
439,0.183596164,439,0.180446759,439,0.105038472
438,0.183942452,438,0.181085527,438,0.105354391
437,0.183968663,437,0.18222554,437,0.106134839
436,0.18424727,436,0.182411775,436,0.106205583
435,0.184293568,435,0.183728412,435,0.10671033
434,0.184237614,434,0.185045511,434,0.107401595
433,0.184486553,433,0.185495526,433,0.107612073
432,0.184602901,432,0.187072158,432,0.108386725
431,0.184615582,431,0.187980682,431,0.108902834
430,0.184638977,430,0.189000577,430,0.109751649
429,0.184924364,429,0.190566972,429,0.110489138
428,0.185280636,428,0.191555753,428,0.110700883
427,0.185199648,427,0.192775697,427,0.111674056
426,0.185271189,426,0.194538638,426,0.112434968
425,0.185314387,425,0.196002677,425,0.11411275
424,0.18535921,424,0.197262272,424,0.114723995
423,0.185514167,423,0.198424473,423,0.115600422
422,0.185724095,422,0.199628115,422,0.116615593
421,0.185994491,421,0.20143348,421,0.116957635
420,0.185898766,420,0.203301922,420,0.11881882
419,0.186013475,419,0.204867959,419,0.120015316
418,0.185873509,418,0.207048863,418,0.121081755
417,0.186205357,417,0.20792912,417,0.122462995
416,0.186459363,416,0.210015595,416,0.123489469
415,0.18641232,415,0.212125137,415,0.125051677
414,0.186839625,414,0.213024676,414,0.125932023
413,0.186818287,413,0.214973673,413,0.127477273
412,0.186885715,412,0.217276067,412,0.128985107
411,0.186884716,411,0.218916714,411,0.130644292
410,0.18723236,410,0.220809147,410,0.13162531
409,0.187031344,409,0.223151058,409,0.133576691
408,0.187386125,408,0.224912033,408,0.135413751
407,0.187616482,407,0.226456627,407,0.136164218
406,0.187394694,406,0.228956014,406,0.138198346
405,0.18775025,405,0.23097077,405,0.140170291
404,0.187894017,404,0.232826009,404,0.14145653
403,0.188012376,403,0.234563455,403,0.143287465
402,0.187955901,402,0.237260103,402,0.145082086
401,0.187987268,401,0.239118844,401,0.146785379
400,0.188250095,400,0.241405711,400,0.148485035
399,0.188656315,399,0.24370414,399,0.149871171
398,0.188521281,398,0.246065885,398,0.152197734
397,0.188822419,397,0.247959897,397,0.154232562
396,0.189209789,396,0.250000089,396,0.155423403
395,0.189056262,395,0.253229916,395,0.157776997
394,0.189329743,394,0.254637301,394,0.15934509
