2theta (700C),intensity (700C)
5.62868,-1217.5415
5.6341,-1215.32242
5.63953,-1212.8276
5.64495,-1210.20107
5.65038,-1207.29248
5.65581,-1204.09548
5.66123,-1200.52602
5.66666,-1196.51439
5.67208,-1192.1113
5.67751,-1187.16632
5.68294,-1181.67931
5.68836,-1175.351
5.69379,-1168.26451
5.69921,-1160.12006
5.70464,-1150.83522
5.71007,-1139.98145
5.71549,-1127.54514
5.72092,-1112.92237
5.72634,-1096.26918
5.73177,-1076.47438
5.7372,-1053.64843
5.74262,-1027.10439
5.74805,-996.57952
5.75347,-960.94844
5.7589,-920.93392
5.76433,-875.62984
5.76975,-825.23299
5.77518,-770.03896
5.78061,-710.23586
5.78603,-647.26967
5.79146,-581.85097
5.79688,-515.81008
5.80231,-450.69881
5.80774,-389.8395
5.81316,-332.92525
5.81859,-283.27712
5.82401,-241.96681
5.82944,-208.59084
5.83487,-186.19948
5.84029,-172.74819
5.84572,-170.95449
5.85114,-178.27053
5.85657,-198.07558
5.862,-225.99282
5.86742,-265.43141
5.87285,-312.05843
5.87827,-366.04982
5.8837,-426.24391
5.88913,-489.96517
5.89455,-555.62166
5.89998,-620.89455
5.9054,-684.56435
5.91083,-744.74276
5.91626,-801.30556
5.92168,-852.75188
5.92711,-899.17464
5.93253,-940.54283
5.93796,-976.52993
5.94339,-1007.674
5.94881,-1034.42376
5.95424,-1057.14263
5.95966,-1076.12508
5.96509,-1092.14817
5.97052,-1105.04369
5.97594,-1115.67229
5.98137,-1123.98876
5.98679,-1130.30378
5.99222,-1134.75975
5.99765,-1137.7508
6.00307,-1139.14972
6.0085,-1139.16948
6.01392,-1137.6489
6.01935,-1134.73014
6.02478,-1130.46572
6.0302,-1125.22219
6.03563,-1118.80922
6.04105,-1111.43996
6.04648,-1103.51288
6.05191,-1094.93653
6.05733,-1086.17324
6.06276,-1077.36559
6.06818,-1069.12178
6.07361,-1061.58382
6.07904,-1054.98006
6.08446,-1049.64727
6.08989,-1045.62596
6.09531,-1043.27822
6.10074,-1042.27471
6.10617,-1043.39498
6.11159,-1045.68517
6.11702,-1049.8113
6.12245,-1055.42241
6.12787,-1062.68523
6.1333,-1071.28292
6.13872,-1081.08518
6.14415,-1091.83931
6.14958,-1103.18921
6.155,-1114.88646
6.16043,-1126.50292
6.16585,-1138.05339
6.17128,-1149.15895
6.17671,-1159.56415
6.18213,-1169.22493
6.18756,-1178.172
6.19298,-1186.31833
6.19841,-1193.66738
6.20384,-1200.05324
6.20926,-1205.76154
6.21469,-1210.92263
6.22011,-1215.44783
6.22554,-1219.43899
6.23097,-1222.90477
6.23639,-1225.95974
6.24182,-1228.70043
6.24724,-1231.14283
6.25267,-1233.24434
6.2581,-1235.08161
6.26352,-1236.74929
6.26895,-1238.28394
6.27437,-1239.58164
6.2798,-1240.82414
6.28523,-1241.89677
6.29065,-1242.87731
6.29608,-1243.75523
6.3015,-1244.62941
6.30693,-1245.37581
6.31236,-1246.1013
6.31778,-1246.73167
6.32321,-1247.35377
6.32863,-1247.87315
6.33406,-1248.41682
6.33949,-1248.98934
6.34491,-1249.54297
6.35034,-1249.97258
6.35576,-1250.36186
6.36119,-1250.69119
6.36662,-1251.08856
6.37204,-1251.38842
6.37747,-1251.80569
6.38289,-1252.1156
6.38832,-1252.3372
6.39375,-1252.50916
6.39917,-1252.81074
6.4046,-1253.06899
6.41002,-1253.32651
6.41545,-1253.50267
6.42088,-1253.68788
6.4263,-1253.85973
6.43173,-1254.02272
6.43715,-1254.21094
6.44258,-1254.35238
6.44801,-1254.56213
6.45343,-1254.74568
6.45886,-1254.94079
6.46428,-1255.03747
6.46971,-1255.13122
6.47514,-1255.24566
6.48056,-1255.41272
