Angle,Intensity
31.5,614.1
31.52,578.8
31.54,577.4
31.56,635.6
31.58,655.4
31.6,623.7
31.62,592.8
31.64,580.6
31.66,563.9
31.68,576.2
31.7,594.8
31.72,606
31.74,586.2
31.76,573.1
31.78,563.6
31.8,564
31.82,586.9
31.84,598.9
31.86,588.4
31.88,585.9
31.9,624
31.92,547.1
31.94,528.8
31.96,558.9
31.98,619.2
32,594
32.02,598.4
32.04,607.4
32.06,608.3
32.08,595.3
32.1,576.7
32.12,581.7
32.14,599.9
32.16,574.1
32.18,576.4
32.2,602.4
32.22,628.7
32.24,612
32.26,579.4
32.28,549.2
32.3,543.8
32.32,586.9
32.34,562.5
32.36,529.7
32.38,534.3
32.4,600.8
32.42,582.5
32.44,580.3
32.46,591.7
32.48,605.7
32.5,563.8
32.52,580.8
32.54,588.8
32.56,577.1
32.58,577.9
32.6,580
32.62,560.5
32.64,535.1
32.66,543.5
32.68,563.2
32.7,574.8
32.72,573.4
32.74,555.1
32.76,562.6
32.78,574.9
32.8,584
32.82,585
32.84,602.5
32.86,584.9
32.88,568.7
32.9,574.2
32.92,610
32.94,615.2
32.96,617.7
32.98,634.3
33,692.2
33.02,709.2
33.04,729.6
33.06,746.1
33.08,725.5
33.1,698.6
33.12,695.5
33.14,697.1
33.16,674.3
33.18,669.5
33.2,669
33.22,667
33.24,659.3
33.26,666.2
33.28,659.6
33.3,644.3
33.32,633
33.34,697.8
33.36,718.3
33.38,707.9
33.4,682.3
33.42,683.8
33.44,676.8
33.46,661.4
33.48,636.4
33.5,599.1
33.52,572.2
33.54,572.6
33.56,583
33.58,576.1
33.6,575.3
33.62,546.6
33.64,515.5
33.66,507.4
33.68,544
33.7,533
33.72,520.7
33.74,527.7
33.76,495
33.78,529.4
33.8,536.8
33.82,505.2
33.84,531.1
33.86,568.6
33.88,561.7
33.9,527.4
33.92,538
33.94,521.7
33.96,501.3
33.98,492.3
34,514.3
34.02,549.7
34.04,552.5
34.06,559
34.08,604.1
34.1,607.1
34.12,618.4
34.14,633.8
34.16,652.1
34.18,685.6
34.2,669.9
34.22,620.6
34.24,561.5
34.26,571.4
34.28,583.2
34.3,575
34.32,541
34.34,480
34.36,506.2
34.38,519.2
34.4,526.8
34.42,562.6
34.44,544.2
34.46,521.7
34.48,514.7
34.5,540
34.52,540
34.54,580.5
34.56,604.1
34.58,580.7
34.6,600.5
34.62,598.5
34.64,601
34.66,619.5
34.68,657.6
34.7,641.8
34.72,617.6
34.74,593.7
34.76,563.3
34.78,590.6
34.8,585.1
34.82,563.4
34.84,576.4
34.86,554.5
34.88,553.8
34.9,559.8
34.92,553.5
34.94,587
34.96,566.6
34.98,535.9
35,525.7
35.02,521.1
35.04,553.7
35.06,591
35.08,614.9
35.1,606.5
35.12,618.2
35.14,673.8
35.16,760.1
35.18,816.5
35.2,843.2
35.22,854.3
35.24,833.6
35.26,746.8
35.28,698.1
35.3,659.3
35.32,640.1
35.34,652.7
35.36,606.3
35.38,534
35.4,498.5
35.42,540.1
35.44,556.1
35.46,546.8
35.48,533
35.5,524
35.52,516.4
35.54,524.3
35.56,548.3
35.58,587.2
35.6,635.9
35.62,642
35.64,670.3
35.66,739
35.68,863.1
35.7,953.7
35.72,1104.7
35.74,1245.6
35.76,1279.9
35.78,1225.3
35.8,1139.7
35.82,1025.5
35.84,892
35.86,840.2
35.88,797.5
35.9,738.1
35.92,653.3
35.94,571.8
35.96,567.1
35.98,554.8
36,516.3
36.02,479
36.04,483.2
36.06,504
36.08,516.6
36.1,477.8
36.12,532.9
36.14,532.2
36.16,498.9
36.18,482.2
36.2,485
36.22,507.1
36.24,530.6
36.26,539.2
36.28,522.4
36.3,536.5
36.32,535.5
36.34,507
36.36,543.6
36.38,565
36.4,564.4
36.42,556.5
36.44,606
36.46,639.8
36.48,664.4
36.5,690
36.52,737.2
36.54,754.3
36.56,794.2
36.58,831.8
36.6,824.1
36.62,756.8
36.64,741.1
36.66,738
36.68,710.9
36.7,709.4
36.72,653
36.74,577.6
36.76,516.2
36.78,557.3
36.8,539.6
36.82,536.9
36.84,566.6
36.86,588.7
36.88,624.4
